Number of samples:   3372
Sample interval:     0.01 seconds
Total sampling time: 33.719997 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10030F7DA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10030F7FA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1    852  25.3   1187  35.2    852  25.3        -  (LABELS VARJO.INTERNALS::IEQL :IN VARJO.INTERNALS::LIKELY-RECURSION-P)
   2    486  14.4    510  15.1   1338  39.7        -  (FLET #:BODY-FUN-558 :IN SB-IMPL::GETHASH3)
   3    423  12.5    423  12.5   1761  52.2        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
   4    341  10.1    878  26.0   2102  62.3        -  SB-IMPL::GETHASH3
   5    176   5.2   1893  56.1   2278  67.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-FORM-BINDING (T VARJO.INTERNALS::ENVIRONMENT))
   6    176   5.2    176   5.2   2454  72.8        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
   7    168   5.0    193   5.7   2622  77.8        -  FIND-IF
   8    114   3.4    114   3.4   2736  81.1        -  SB-KERNEL:CLASSOID-CELL-TYPEP
   9     88   2.6     88   2.6   2824  83.7        -  EQUAL
  10     50   1.5     50   1.5   2874  85.2        -  SB-IMPL::EQ-HASH
  11     42   1.2     42   1.2   2916  86.5        -  (LABELS SB-IMPL::EQUAL-AUX :IN EQUAL)
  12     38   1.1     38   1.1   2954  87.6        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS::LIKELY-RECURSION-P)
  13     35   1.0     35   1.0   2989  88.6        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
