           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1   5693  32.0   5693  32.0   5693  32.0        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/braid.fasl")
   2   4160  23.4   4222  23.7   9853  55.4        -  (FLET #:BODY-FUN-558 :IN SB-IMPL::GETHASH3)
   3   2026  11.4   6286  35.3  11879  66.8        -  SB-IMPL::GETHASH3
   4   1435   8.1   1987  11.2  13314  74.9        -  (LABELS VARJO.INTERNALS::IEQL :IN VARJO.INTERNALS::LIKELY-RECURSION-P)
   5    729   4.1    729   4.1  14043  79.0        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/dlisp3.fasl")
   6    526   3.0  13552  76.2  14569  81.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-FORM-BINDING (T VARJO.INTERNALS::ENVIRONMENT))
   7    484   2.7    484   2.7  15053  84.6        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/dlisp3.fasl")
   8    435   2.4    453   2.5  15488  87.1        -  FIND-IF
   9    399   2.2    399   2.2  15887  89.3        -  SB-VM::UNDEFINED-TRAMP
  10    344   1.9    344   1.9  16231  91.3        -  SB-KERNEL:CLASSOID-CELL-TYPEP
  11    279   1.6    279   1.6  16510  92.8        -  SB-KERNEL:CLASSOID-TYPEP
  12    177   1.0    177   1.0  16687  93.8        -  EQUAL
  13    143   0.8    869   4.9  16830  94.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::VALID-FOR-CONTEXTP (LIST VARJO.INTERNALS::ENVIRONMENT))
  14     98   0.6     98   0.6  16928  95.2        -  SB-IMPL::EQL-HASH
  15     89   0.5   1365   7.7  17017  95.7        -  VARJO.INTERNALS:ENV-DEPTH
  16     80   0.4     80   0.4  17097  96.1        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS::LIKELY-RECURSION-P)
  17     61   0.3     61   0.3  17158  96.5        -  (LABELS SB-IMPL::EQUAL-AUX :IN EQUAL)
  18     61   0.3     61   0.3  17219  96.8        -  VARJO.INTERNALS::GET-FROM-BINDING-SET
  19     57   0.3     57   0.3  17276  97.1        -  SB-VM::GENERIC-+
  20     54   0.3     54   0.3  17330  97.4        -  VARJO.INTERNALS::%VALID-FOR-CONTEXTP
  21     35   0.2     35   0.2  17365  97.6        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
  22     23   0.1     23   0.1  17388  97.8        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/dlisp3.fasl")
  23     19   0.1     19   0.1  17407  97.9        -  (FLET SB-THREAD::WITH-RECURSIVE-SYSTEM-LOCK-THUNK :IN SB-IMPL::GETHASH3)
