Profiler sample vector full (4286 traces / 500000 samples), doubling the size
Profiler sample vector full (8601 traces / 1000000 samples), doubling the size

Number of samples:   10679
Sample interval:     0.001 seconds
Total sampling time: 10.679001 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "control-thread" waiting on: #<WAITQUEUE  {1001E08243}> {1001E02833}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10029EFDA3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" waiting on: #<WAITQUEUE  {1001E100E3}> {1001E08143}>
 #<SB-THREAD:THREAD "reader-thread" RUNNING {1001E08023}>
 #<SB-THREAD:THREAD "Swank Sentinel" waiting on: #<WAITQUEUE  {1005000003}> {1004FFC713}>
 #<SB-THREAD:THREAD "main thread" RUNNING {10005E8293}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10029F0003}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1    466   4.4    466   4.4    466   4.4        -  "foreign function __select"
   2    395   3.7    395   3.7    861   8.1        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;DLISP3.LISP")
   3    390   3.7    483   4.5   1251  11.7        -  SB-VM::ALLOC-TRAMP
   4    345   3.2    430   4.0   1596  14.9        -  SB-PCL::ENSURE-CACHED-CTOR
   5    297   2.8    422   4.0   1893  17.7        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.lisp")
   6    295   2.8    295   2.8   2188  20.5        -  SB-KERNEL:CLASSOID-TYPEP
   7    286   2.7    286   2.7   2474  23.2        -  SB-IMPL::%MAKE-STRING-OUTPUT-STREAM
   8    280   2.6   3533  33.1   2754  25.8        -  VARJO.INTERNALS::BASIC-ARG-MATCHP
   9    252   2.4    292   2.7   3006  28.1        -  (FLET "BODY-FUN-0" :IN SB-IMPL::GETHASH3)
  10    240   2.2    353   3.3   3246  30.4        -  MAKE-HASH-TABLE
  11    228   2.1    258   2.4   3474  32.5        -  REMOVE
  12    197   1.8    197   1.8   3671  34.4        -  VARJO.INTERNALS::%GEN-FLOW-GL-ID
  13    186   1.7    186   1.7   3857  36.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;DLISP3.LISP")
