           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    315   5.4    315   5.4    651  11.1        -  SB-VM::UNDEFINED-TRAMP
   3    222   3.8    222   3.8    873  14.8        -  SB-KERNEL:CLASSOID-TYPEP
   5    137   2.3    160   2.7   1190  20.2        -  REMOVE
   6    136   2.3    136   2.3   1326  22.5        -  EQL
   7    120   2.0    120   2.0   1446  24.6        -  SB-C:RETURN-MULTIPLE
   9     97   1.6    133   2.3   1642  27.9        -  SB-C::GET-INFO-VALUE
  10     80   1.4     80   1.4   1722  29.3        -  (LAMBDA (SB-PCL::.PV. SB-PCL::.NEXT-METHOD-CALL. SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-STD-READER-METHOD-FUNCTION)
  11     78   1.3    114   1.9   1800  30.6        -  (FLET #:BODY-FUN-558 :IN SB-IMPL::GETHASH3)
  12     70   1.2    190   3.2   1870  31.8        -  SB-KERNEL:%ASSOC
  14     68   1.2     68   1.2   2008  34.1        -  SB-KERNEL:UB32-BASH-COPY
  15     66   1.1   1718  29.2   2074  35.2        -  VARJO.INTERNALS::BASIC-ARG-MATCHP
  16     64   1.1     64   1.1   2138  36.3        -  SB-KERNEL:%%TYPEP
  17     63   1.1     63   1.1   2201  37.4        -  SB-KERNEL:CLASSOID-CELL-TYPEP
  18     62   1.1    102   1.7   2263  38.4        -  MAKE-HASH-TABLE
  20     56   1.0    119   2.0   2376  40.4        -  VARJO.INTERNALS:MAKE-COMPILED
  21     54   0.9     54   0.9   2430  41.3        -  (LAMBDA (SB-PCL::METHOD-ARGS SB-PCL::NEXT-METHODS) :IN SB-PCL::METHOD-FUNCTION-FROM-FAST-FUNCTION)
  22     53   0.9    534   9.1   2483  42.2        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  24     51   0.9    705  12.0   2587  43.9        -  (SB-PCL::FAST-METHOD V-CASTS-TO (V-TYPE V-TYPE))
  25     51   0.9    144   2.4   2638  44.8        -  SB-KERNEL::VALUES-SPECIFIER-TYPE-R
  26     51   0.9     51   0.9   2689  45.7        -  (LAMBDA (SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-OPTIMIZED-STD-READER-METHOD-FUNCTION)
  27     48   0.8     83   1.4   2737  46.5        -  PPRINT-DISPATCH
  28     45   0.8    158   2.7   2782  47.3        -  SB-VM::GENERIC-+
  29     44   0.7    175   3.0   2826  48.0        -  SB-IMPL::GETHASH3
  30     41   0.7     41   0.7   2867  48.7        -  SB-C::PACKED-INFO-VALUE-INDEX
  31     41   0.7     41   0.7   2908  49.4        -  LENGTH
  32     36   0.6     36   0.6   2944  50.0        -  SB-IMPL::%MAKE-STRING-OUTPUT-STREAM
  34     35   0.6     62   1.1   3015  51.2        -  FIND-IF
  35     34   0.6    283   4.8   3049  51.8        -  VARJO.INTERNALS::MATCH-FUNCTION-TO-ARGS
  36     32   0.5   3062  52.0   3081  52.3        -  SB-IMPL::MAP1
  37     31   0.5    185   3.1   3112  52.9        -  SB-KERNEL:SPECIFIER-TYPE
  38     29   0.5     32   0.5   3141  53.4        -  SB-IMPL::EQL-HASH
